Shelter Name,Address
Camille Henry Memorial School,Castries North
Maranatha Seventh-Day Adventist Church,Castries North
La Clery Roman Catholic Church,Castries North
VBCC Club House,Castries North
Vide Boutielle Combined School,Castries North
,
Carmen René Memorial School,Castries Central
St. Aloysius RC Boy Infant School,Castries Central
St. Aloysius RC Boy Primary School,Castries Central
Ave Maria Girls Infant School,Castries Central
Ave Maria Girls Primary School,Castries Central
,
Bocage Combined School,Castries East
Bocage Secondary School,Castries East
Bocage Pentecostal Church,Castries East
Marchand Community Centre,Castries East
Marchand Parish Hall,Castries East
,
Ciceron R.C. Combined School,Castries South
Deliverance Baptist Church,Castries South
St. Benedict Roman Catholic Church,Castries South
Faux A Chaux Community Centre,Castries South
La Croix Maingot Combined School,Castries South
,
Bexon Infant School,Castries South East
Cul De Sac Early Childhood Development Centre,Castries South East
Zion SDA Primary School,Castries South East
Sarrot Community Centre,Castries South East
Ti Rocher Combined School,Castries South East
,
Lime Light Disco,Micoud North
Micoud Primary School,Micoud North
Micoud RC Church,Micoud North
Micoud multi purpose center,Micoud North
Micoud Secondary School,Micoud North
,
Ti Rocher Multi Purpose Centre,Micoud South
Liberty Baptist Church,Micoud South
Seventh Day Adventist Church - Ti Rocher,Micoud South
Ti Rocher Combined School,Micoud South
Fond Desruisseaux Mothers’ and Fathers’ Hall,Micoud South
,
Richfond combined,Dennery North
Gadette DayCare,Dennery North
Laresource roman Catholic,Dennery North
LaResource Parish Center,Dennery North
Grande Riviere Secondary School,Dennery North
,
New Dennery Infant School,Dennery South
Dennery Seventh Day Adventist Church,Dennery South
Clendon Mason Memorial School,Dennery South
St. Mary’s Anglican Church,Dennery South
,
Pierrot Combined School,Vieux-Fort North
Morne Cayenne Evangelical Church,Vieux-Fort North
Vigier Combined School,Vieux-Fort North
Belle Vue Human Resource Centre,Vieux-Fort North
Grace Combined School,Vieux-Fort North
,
Vieux Fort Comprehensive School Campus B,Vieux-Fort South
Plain View Combined School,Vieux-Fort South
Vieux Fort Primary School,Vieux-Fort South
Victory Pentecostal Church,Vieux-Fort South
Beanfield Secondary School,Vieux-Fort South
,
Anse La Raye Primary School,Anse La Raye
Tete Chemin Human Resource Centre,Anse La Raye
Canaries Community Centre,Anse La Raye
Fond St. Jacques Roman Catholic Church,Anse La Raye
Soufriere Primary School,Anse La Raye
,
Gros Islet Roman Catholic Church,Gros-Islet
Gros Islet Infant School,Gros-Islet
Gros Islet Primary School,Gros-Islet
Corinth Secondary School,Gros-Islet
Grand Riviere Combined School,Gros-Islet
,
Balata Combined School,Babonneau
Babonneau Resource Centre,Babonneau
Babonneau Roman Catholic Church,Babonneau
Babonneau Infant/Primary School,Babonneau
Fond Assau Combined School,Babonneau